acc,auc,fscore,precision,recall
T2D_genomic40_AE_sp_data_1.csv[0.9491134751773049, 0.9137037037037038, 0.9639127764127764, 0.9534442724458204, 0.975]
T2D_genomic40_AE_sp_data_2.csv[0.9237588652482269, 0.9260637673872967, 0.9471776589423648, 0.9313725490196078, 0.9646241830065361]
T2D_genomic40_AE_sp_data_3.csv[0.9320921985815603, 0.9111928104575163, 0.9528492912316443, 0.9324604403164773, 0.976388888888889]
T2D_genomic40_AE_sp_data_4.csv[0.9320921985815603, 0.9177073906485671, 0.9538934656581717, 0.9122119023047816, 1.0]
T2D_genomic40_AE_sp_data_5.csv[0.9069148936170214, 0.9069457013574661, 0.9357389016212545, 0.9096663226694186, 0.9652777777777779]
T2D_taxonomic_species_AE_sp_data_1.csv[0.9237588652482269, 0.9356008044243339, 0.9471451914098973, 0.9208333333333332, 0.976388888888889]
T2D_taxonomic_species_AE_sp_data_2.csv[0.9407801418439717, 0.8983488352605999, 0.959288685171038, 0.9320261437908496, 0.9888888888888889]
T2D_taxonomic_species_AE_sp_data_3.csv[0.9320921985815603, 0.9156217529746942, 0.9535658194481724, 0.9239078087375301, 0.9882352941176471]
T2D_taxonomic_species_AE_sp_data_4.csv[0.9237588652482269, 0.9351587900117313, 0.948206434088787, 0.9122119023047816, 0.9888888888888889]
T2D_taxonomic_species_AE_sp_data_5.csv[0.9407801418439717, 0.9314814814814815, 0.9596248196248197, 0.9337805297557619, 0.9888888888888889]
AE_sp_data_1.csv[0.8292473118279571, 0.9098197708724024, 0.8340884734460585, 0.8022966507177033, 0.9036363636363636]
IBD_functional_AE_sp_data_1.csv[0.9875, 0.9984126984126984, 0.9865319865319865, 0.9882352941176471, 0.9857142857142858]
IBD_functional_AE_sp_data_2.csv[0.9875, 0.9996031746031747, 0.9873891625615764, 0.9866666666666667, 0.9888888888888889]
IBD_functional_AE_sp_data_3.csv[0.9875, 1.0, 0.9873891625615764, 0.9866666666666667, 0.9888888888888889]
IBD_functional_AE_sp_data_4.csv[0.99375, 1.0, 0.993103448275862, 0.9866666666666667, 1.0]
IBD_functional_AE_sp_data_5.csv[0.99375, 0.9996031746031747, 0.9925925925925926, 1.0, 0.9857142857142858]
IBD_genomic40_AE_sp_data_1.csv[0.99375, 1.0, 0.9935483870967742, 1.0, 0.9875]
